0.893
0.95	1.16	were	0.74
1.16	1.44	made	1.00
1.44	1.55	by	1.00
1.55	1.68	the	1.00
1.68	2.18	fbi	1.00
2.41	2.59	york	0.90
2.59	2.91	police	1.00
2.91	3.25	today	1.00
3.25	3.33	in	0.80
3.33	3.38	a	1.00
3.38	3.88	massive	1.00
4.05	4.40	mob	1.00
4.40	4.90	bust	0.61
5.15	5.38	several	0.61
5.38	5.72	infinite	0.85
5.72	6.11	mafia	0.90
6.11	6.53	families	0.85
6.53	6.91	along	0.90
6.91	7.01	the	1.00
7.01	7.25	east	1.00
7.25	7.56	coast	0.70
7.56	7.73	were	0.61
7.73	8.14	involved	1.00
8.14	8.35	here's	1.00
8.35	8.46	what	1.00
8.46	8.55	we	1.00
8.55	9.05	know	1.00
9.19	9.38	the	1.00
9.38	9.88	fbi	1.00
9.96	10.14	erected	0.90
10.14	10.63	more	1.00
10.63	10.77	than	1.00
10.77	11.13	forty	1.00
11.13	11.46	people	1.00
11.46	11.96	allegedly	1.00
11.96	12.32	involved	1.00
12.32	12.42	in	1.00
12.42	12.92	organized	1.00
13.03	13.53	crime	1.00
13.96	14.05	they've	0.70
14.05	14.28	been	0.74
14.28	14.57	charged	1.00
14.57	14.71	with	1.00
14.71	15.21	weapons	1.00
15.24	15.74	trafficking	1.00
15.78	16.28	extortion	1.00
16.64	17.00	illegal	1.00
17.00	17.50	gambling	1.00
17.52	18.02	healthcare	0.90
18.11	18.23	and	1.00
18.23	18.55	credit	1.00
18.55	18.83	card	1.00
18.83	19.33	fraud	1.00
19.66	20.16	assault	0.61
20.32	20.63	and	1.00
20.63	20.92	other	1.00
20.92	21.42	offenses	0.70
21.54	22.02	members	1.00
22.02	22.22	of	1.00
22.22	22.36	the	1.00
23.47	23.97	gambino	0.61
24.51	24.90	lucchese	0.61
24.90	25.40	capi	0.61
25.44	25.94	and	1.00
26.20	26.70	bonanno	0.85
26.98	27.48	mafia	1.00
27.48	27.92	families	1.00
27.92	28.05	are	1.00
28.05	28.49	involved	1.00
28.49	28.99	investigators	1.00
29.10	29.34	say	1.00
29.34	29.47	they	1.00
29.47	29.97	allegedly	1.00
30.03	30.33	ran	1.00
30.33	30.37	a	1.00
30.37	30.87	huge	1.00
30.94	31.44	business	1.00
31.93	32.15	called	1.00
32.15	32.26	the	1.00
32.26	32.59	east	1.00
32.59	33.00	coast	1.00
33.00	33.50	enterprise	1.00
33.60	33.73	and	0.85
33.73	33.84	there	1.00
33.84	34.07	are	1.00
34.07	34.38	some	1.00
34.38	34.86	interesting	1.00
35.93	36.14	some	1.00
36.14	36.22	of	1.00
36.22	36.47	those	1.00
36.47	36.89	charged	0.70
36.89	37.01	that	0.70
37.10	37.36	now	1.00
37.36	37.74	merge	0.90
37.74	38.05	among	1.00
38.05	38.44	them	0.90
38.44	38.94	rooster	0.90
39.20	39.51	tony	1.00
39.51	39.59	the	1.00
39.99	40.49	muscle	0.90
41.42	41.83	boy	0.80
41.83	42.21	tony	1.00
42.21	42.31	the	1.00
42.31	42.81	cripple	1.00
42.99	43.32	nikki	0.61
43.32	43.40	the	1.00
44.03	44.53	mustache	1.00
44.87	45.33	pat	0.74
45.33	45.83	tugboat	0.74
46.77	47.02	at	0.61
47.02	47.24	the	0.70
47.24	47.62	kid	0.80
47.62	47.73	and	1.00
47.73	47.96	big	1.00
47.96	48.46	vinnie	1.00
48.80	49.03	right	1.00
49.03	49.22	now	1.00
49.22	49.36	we	1.00
49.36	49.52	know	1.00
49.52	50.01	nearly	1.00
50.01	50.45	all	1.00
50.45	50.55	of	1.00
50.55	50.62	the	1.00
51.23	51.73	charged	1.00
52.10	52.34	are	0.85
52.34	52.45	in	0.85
52.45	52.95	custody	1.00
