0.781
0.05	0.55	Moi	1.00
2.01	2.34	nor	0.61
2.34	2.49	not	0.61
2.49	2.80	down	0.74
2.80	2.97	like	0.80
2.97	3.47	capping	0.90
6.42	6.69	called	0.61
6.69	7.09	bleeding	0.90
7.09	7.41	love	0.80
8.10	8.48	grammy	1.00
8.48	8.98	nominations	1.00
9.25	9.64	became	1.00
9.64	9.73	the	1.00
9.73	10.23	best	1.00
10.64	10.97	selling	1.00
10.97	11.25	single	1.00
11.25	11.75	worldwide	0.90
11.80	12.02	that	0.80
12.34	12.84	twenty-eight	1.00
12.97	13.13	that	1.00
13.43	13.93	year	0.90
13.96	14.23	she	1.00
14.23	14.60	became	1.00
14.60	14.70	the	1.00
14.70	14.98	first	1.00
14.98	15.35	british	1.00
15.35	15.73	female	1.00
15.73	16.04	solo	1.00
16.04	16.37	artist	1.00
16.37	16.46	to	1.00
16.46	16.78	top	1.00
16.78	16.85	the	1.00
16.85	17.09	us	1.00
17.09	17.59	billboard	1.00
17.78	18.12	tudor	0.70
18.12	18.39	chart	1.00
18.39	18.64	more	1.00
18.64	18.80	than	1.00
18.80	19.22	twenty	1.00
19.22	19.72	years	1.00
19.84	19.99	with	1.00
19.99	20.13	her	1.00
20.13	20.50	debut	1.00
20.50	20.83	album	1.00
20.83	20.89	the	0.70
20.89	21.18	called	0.80
21.18	21.68	spirit	1.00
21.89	22.17	her	0.85
22.17	22.56	career	0.80
22.56	22.78	started	0.61
22.78	23.05	back	0.80
23.05	23.14	in	0.74
23.14	23.64	twenty-fifth	0.80
23.82	24.04	when	1.00
24.04	24.22	she	1.00
24.22	24.48	took	1.00
24.48	24.55	the	1.00
24.55	24.91	crown	1.00
24.91	25.03	on	1.00
25.03	25.12	the	1.00
25.12	25.44	third	1.00
26.02	26.52	uk	0.80
26.60	26.96	x	1.00
26.96	27.46	factor	1.00
36.65	36.73	the	0.61
36.73	37.14	decades	0.74
37.14	37.48	later	1.00
37.48	37.68	she	0.80
37.68	38.07	stepping	1.00
38.07	38.29	onto	1.00
38.29	38.36	a	1.00
38.36	38.81	broadly	0.74
39.09	39.20	for	1.00
39.20	39.29	the	1.00
39.29	39.59	first	0.70
39.59	40.09	time	0.61
40.39	40.48	the	0.74
40.48	40.97	revival	0.80
40.97	41.07	of	1.00
41.07	41.43	andrew	1.00
41.43	41.69	lloyd	1.00
41.69	41.94	webber	1.00
41.94	42.44	tony-winning	1.00
42.64	42.99	classic	1.00
42.99	43.49	cats	0.61
44.39	44.89	signatures	0.85
44.98	45.41	song	0.74
45.58	46.00	called	0.74
46.00	46.37	memory	1.00
46.37	46.83	accords	0.61
46.83	47.22	leona	1.00
47.22	47.58	lewis	1.00
48.39	48.58	at	1.00
48.58	48.65	the	1.00
48.65	48.97	table	1.00
48.97	49.37	hello	1.00
49.37	49.87	momoa	0.70
50.94	51.44	budgeting	0.70
51.46	51.54	I	1.00
51.54	51.73	went	1.00
51.73	51.84	to	1.00
51.84	51.93	the	1.00
51.93	52.20	show	1.00
52.20	52.45	on	1.00
52.45	52.95	saturday	1.00
53.00	53.26	when	1.00
53.26	53.38	you	1.00
53.38	53.60	think	0.61
53.60	53.75	that	0.61
54.05	54.55	goosebumps	0.70
54.86	55.36	everybody	1.00
55.44	55.56	would	1.00
55.56	55.77	on	1.00
55.77	55.90	their	1.00
55.90	56.18	feet	1.00
56.18	56.32	at	1.00
56.32	56.49	that	1.00
56.49	56.90	particular	1.00
56.90	57.20	moment	0.90
57.20	57.58	no-go	0.61
57.58	57.95	you	0.74
58.62	58.82	but	0.70
58.82	58.94	you	0.80
59.23	59.45	dot	0.90
59.71	59.90	you	0.70
59.90	60.08	said	0.70
60.08	60.25	when	1.00
60.25	60.33	you	1.00
60.33	60.44	were	1.00
60.88	61.23	seven	0.70
61.23	61.28	a	0.74
61.28	61.45	new	0.80
61.45	61.95	thought	0.74
62.19	62.53	what	1.00
62.53	62.69	when	1.00
62.69	62.76	you	1.00
62.76	62.93	heard	0.61
62.93	63.07	the	0.61
63.07	63.57	accountability	0.70
63.86	64.36	original	0.80
64.74	65.24	production	1.00
66.23	66.48	in	1.00
66.48	66.93	london	1.00
66.93	67.33	and	1.00
67.33	67.47	my	1.00
67.47	67.75	mom	1.00
67.75	68.02	put	0.80
68.02	68.20	me	1.00
68.20	68.56	today	0.61
68.56	69.06	and	0.70
70.75	70.90	it	0.70
71.27	71.64	magical	0.90
71.64	71.93	at	0.85
71.93	72.07	the	0.80
72.07	72.29	may	0.70
72.29	72.76	lagging	0.61
73.16	73.38	and	0.70
73.38	73.83	not	0.90
73.83	74.18	songs	0.70
74.18	74.42	in	1.00
74.42	74.76	particulate	0.61
74.76	75.14	stuck	0.70
